"type","last_write","size_bytes","src_path","dst_path"
"epg","12/11/24 10:59:07 AM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
"epg","04/11/24 2:47:11 PM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
"epg","04/11/24 2:47:11 PM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
"epg","12/11/24 10:59:07 AM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","12/11/24 10:59:07 AM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","12/11/24 10:59:07 AM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","12/11/24 10:59:07 AM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","04/11/24 2:47:10 PM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","04/11/24 2:47:10 PM","1550999","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A6F7BA24__sat.tv_en.channels.xml"
"epg","11/08/25 2:55:44 AM","1528894","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgpw_us.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\440A6C78E3__epg_epgpw_us.xml.gz"
"epg","22/11/25 11:55:20 AM","1464677","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\5DB8C6BB2A__sat.tv_en.channels.xml"
"epg","26/09/25 10:40:03 AM","1463746","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\sat.tv\sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\EAD8428437__sat.tv_en.channels.xml"
